Subject Code,Question Text,Option A,Option B,Option C,Option D,Correct Answer,Question Order
SS2_COMP,"What is program development?","The process of designing and building a program","The process of testing and debugging a program","The process of maintaining and updating a program","The process of installing and configuring a program","A","1"
SS2_COMP,"Which of the following is a stage in the program development life cycle?","Planning","Analysis","Design","All of the above","D","2"
SS2_COMP,"What is the purpose of the analysis stage in the program development life cycle?","To design the program","To gather and analyze data about the problem","To test and debug the program","To maintain and update the program","B","3"
SS2_COMP,"Which of the following is a type of program design?","Top-down design","Bottom-up design","Modular design","All of the above","D","4"
SS2_COMP,"What is the purpose of the implementation stage in the program development life cycle?","To design the program","To gather and analyze data about the problem","To write and test the program code","To maintain and update the program","C","5"
SS2_COMP,"Which of the following is a type of testing in the program development life cycle?","Unit testing","Integration testing","System testing","All of the above","D","6"
SS2_COMP,"What is the purpose of the maintenance stage in the program development life cycle?","To design the program","To gather and analyze data about the problem","To write and test the program code","To correct errors and update the program","D","7"
SS2_COMP,"Which of the following is a benefit of the program development life cycle?","It reduces the risk of program failure","It increases the cost of program development","It decreases the quality of the program","It reduces the time required for program development","A","8"
SS2_COMP,"What is the first stage in the program development life cycle?","Planning","Analysis","Design","Implementation","A","9"
SS2_COMP,"Which of the following is a type of program documentation?","User manual","Technical manual","Program code comments","All of the above","D","10"
SS2_COMP,"What is the purpose of the testing stage in the program development life cycle?","To design the program","To gather and analyze data about the problem","To write and test the program code","To ensure that the program works correctly","D","11"
SS2_COMP,"Which of the following is a benefit of using a program development life cycle?","It reduces the risk of program failure","It increases the cost of program development","It decreases the quality of the program","It reduces the time required for program development","A","12"
SS2_COMP,"What is an algorithm?","A set of instructions to solve a problem","A diagram to represent a program","A programming language","A computer hardware","A","13"
SS2_COMP,"Which of the following is a characteristic of an algorithm?","It must be simple","It must be efficient","It must be correct","All of the above","D","14"
SS2_COMP,"What is a flowchart?","A diagram to represent a program","A set of instructions to solve a problem","A programming language","A computer hardware","A","15"
SS2_COMP,"Which of the following symbols is used to represent a process in a flowchart?","Rectangle","Oval","Parallelogram","Diamond","A","16"
SS2_COMP,"Which of the following symbols is used to represent a decision in a flowchart?","Rectangle","Oval","Parallelogram","Diamond","D","17"
SS2_COMP,"What is the purpose of a flowchart?","To write a program","To debug a program","To represent a program graphically","To document a program","C","18"
SS2_COMP,"Which of the following is a benefit of using a flowchart?","It makes the program more complex","It makes the program more difficult to understand","It helps to identify errors in the program","It makes the program more efficient","C","19"
